trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
151	sun_acsgbuurtwghzjel.jpg	592502.5494	592502.9586	592502.9998	592506.0189
152	sun_awyjssnluvfxtfwf.jpg	592506.2358	592508.0629	592508.1040	592511.1231
153	sun_azdnupmzwdxwflvh.jpg	592511.3399	592511.4628	592511.4900	592514.5092
154	sun_admyjjnxxddpqaud.jpg	592514.7260	592515.1086	592515.1263	592518.1455
155	sun_arvuykssgbdzaavk.jpg	592518.3623	592521.0626	592521.0812	592524.1003
156	sun_anmlnygclbxbrdbw.jpg	592524.3171	592524.8464	592524.9176	592527.9368
157	sun_anneoguowdhugwoy.jpg	592528.1536	592528.5827	592528.6040	592531.6231
158	sun_ajkawyunawdxfxob.jpg	592531.8399	592532.3425	592532.4071	592535.4262
159	sun_atfmueokdeplnsdy.jpg	592535.6430	592536.0789	592536.1101	592539.1292
160	sun_azwwluglgwfhhwee.jpg	592539.3460	592539.7506	592539.7797	592542.7988
161	sun_ahdycvpopffkzzsu.jpg	592543.0157	592543.4844	592543.4994	592546.5185
162	sun_aglwoufpxbtxqecp.jpg	592546.7354	592547.2945	592547.3192	592550.3383
163	sun_anuwqvomituqoawj.jpg	592550.5551	592552.1514	592552.1898	592555.2089
164	sun_ahqykyyouxkgmdnq.jpg	592555.4258	592555.9189	592555.9762	592558.9954
165	sun_ateowiyyxtlctxnj.jpg	592559.2122	592559.5265	592559.5458	592562.5649
166	labelme_maitcyodsfflkgk.jpg	592562.7818	592563.1496	592563.1654	592566.1845
167	sun_amhdrfkpqmptmlvl.jpg	592566.4014	592566.7584	592566.8184	592569.8375
168	sun_aenotlpyftoioydp.jpg	592570.0544	592571.4626	592571.5389	592574.5580
169	sun_afvkcxzohlpzliti.jpg	592574.7748	592575.1747	592575.2419	592578.2610
170	sun_ajawyzbcsphfnsgb.jpg	592578.4779	592584.6303	592584.6496	592587.6687
171	sun_aobtqmsjotgsxppu.jpg	592587.8855	592588.0547	592588.0690	592591.0881
172	sun_agguqiubmwhqqunb.jpg	592591.3050	592592.6147	592592.6394	592595.6585
173	sun_agrkvwbkgrglcoga.jpg	592595.8754	592596.6226	592596.6760	592599.6951
174	sun_alaftnkvuoaxsizt.jpg	592599.9120	592600.7106	592600.7290	592603.7484
175	sun_aydxycepjgosoubm.jpg	592603.9653	592605.3747	592605.4164	592608.4356
176	sun_asuudekbluwjwevp.jpg	592608.6524	592610.5943	592610.6540	592613.6732
177	sun_ajaqajwbqkwfvnef.jpg	592613.8900	592614.4223	592614.4905	592617.5096
178	sun_afutksgwyoqttegy.jpg	592617.7265	592618.1944	592618.2269	592621.2460
179	sun_aczamediblpgqmwt.jpg	592621.4628	592621.8629	592621.9132	592624.9323
180	sun_aomzbprctpzqwjzj.jpg	592625.1492	592627.3666	592627.4344	592630.4535
181	sun_aqqabpdqjxygueuw.jpg	592630.6703	592631.0789	592631.1040	592634.1231
182	sun_ahijqszoswveeyji.jpg	592634.3400	592634.7869	592634.8070	592637.8261
183	sun_aqrpegblszgcoujh.jpg	592638.0430	592638.4383	592638.4600	592641.4791
184	sun_axouwjxmvidopcvg.jpg	592641.6960	592643.6707	592643.7309	592646.7501
185	sun_afmsnwrincaowafk.jpg	592646.9669	592648.0867	592648.1679	592651.1870
186	sun_axuvsdqqnoevzlud.jpg	592651.4039	592651.9604	592651.9877	592655.0068
187	sun_ajieuepqwqsumwkj.jpg	592655.2236	592655.7667	592655.7908	592658.8099
188	sun_aobyfgpmnvnnuolx.jpg	592659.0267	592659.4547	592659.5772	592662.5963
189	sun_atgzwnczaxwddrai.jpg	592662.8131	592663.1187	592663.1801	592666.1992
190	sun_anbqoyitlozwisvu.jpg	592666.4161	592666.9586	592666.9999	592670.0190
191	labelme_iocgjwcthdvttcs.jpg	592670.2358	592671.7503	592671.8038	592674.8229
192	sun_anryxjxdjnraelom.jpg	592675.0398	592675.3428	592675.3734	592678.3925
193	sun_acduarbnmmoglmiv.jpg	592678.6093	592678.9863	592679.0096	592682.0288
194	sun_ambrwzywvjncguna.jpg	592682.2456	592683.2067	592683.2464	592686.2655
195	sun_alxnnlzdudyhqwig.jpg	592686.4824	592687.2146	592687.2664	592690.2855
196	sun_awaeoxdssornxdzd.jpg	592690.5023	592691.1107	592691.1862	592694.2053
197	sun_ahixopvqokygrcgy.jpg	592694.4222	592697.9908	592698.0084	592701.0276
198	sun_acpufsxakyzrtcti.jpg	592701.2444	592702.1665	592702.1952	592705.2143
199	sun_aavhrsfjbserjtht.jpg	592705.4311	592706.1186	592706.1484	592709.1675
200	sun_aailohlxppyetonl.jpg	592709.3844	592711.3745	592711.4360	592714.4551
201	sun_aaslbwtcdcwjukuo.jpg	592732.0695	592733.0465	592733.1037	592736.1228
202	sun_atkzwhcuawuauxxx.jpg	592736.3396	592737.0465	592737.0902	592740.1093
203	sun_acnxqvumxuhphsox.jpg	592740.3262	592742.6066	592742.6447	592745.6639
204	sun_avktgzzhmpgvaxkk.jpg	592745.8807	592747.0626	592747.0984	592750.1175
205	sun_azkonpsbldzbkqim.jpg	592750.3343	592750.6705	592750.7013	592753.7204
206	sun_amkzdhjzeppbseut.jpg	592753.9373	592754.3026	592754.3376	592757.3567
207	sun_ahjhgfuccyykgcqk.jpg	592757.5736	592757.9582	592757.9906	592761.0097
208	sun_abgovsbwwyozjdzp.jpg	592761.2265	592761.8142	592761.8604	592764.8795
209	sun_awqncsdprzjtqkum.jpg	592765.0964	592765.5024	592765.5467	592768.5658
210	sun_adoqbnxbotablpwl.jpg	592768.7827	592769.6146	592769.6334	592772.6525
211	sun_aawefvrbscajixha.jpg	592772.8693	592773.3185	592773.3697	592776.3889
212	sun_acfmftudsenhrfhy.jpg	592776.6057	592777.0944	592777.1228	592780.1419
213	sun_aqwqdcouifhpnenx.jpg	592780.3588	592780.8651	592780.8925	592783.9116
214	sun_azckywjqzicxsgez.jpg	592784.1285	592784.5662	592784.5955	592787.6147
215	sun_awlmntruykfbsame.jpg	592787.8315	592788.4948	592788.5154	592791.5345
216	sun_avsajiwmqfxawdbz.jpg	592791.7513	592792.2306	592792.2851	592795.3042
217	sun_asppapsiuwmrsopu.jpg	592795.5211	592796.4628	592796.5219	592799.5410
218	sun_alyergctkjrpiwgr.jpg	592799.7579	592801.5908	592801.6261	592804.6452
219	sun_aaurzltrbxfksuhz.jpg	592804.8620	592805.5828	592805.6126	592808.6317
220	sun_awwembxtbzpnilay.jpg	592808.8486	592809.2944	592809.3490	592812.3681
221	sun_amkckbxigznghvip.jpg	592812.5850	592812.8864	592812.9019	592815.9210
222	sun_ahjvciulzdwyyshu.jpg	592816.1379	592816.7107	592816.7383	592819.7575
223	sun_adbqksnwuqqwdpxc.jpg	592819.9743	592820.7745	592820.8417	592823.8608
224	sun_ageomnacdflnblsi.jpg	592824.0777	592824.4546	592824.4947	592827.5138
225	sun_acjcdbqhletirjdl.jpg	592827.7306	592828.2866	592828.3144	592831.3336
226	sun_agctjiqflyqiupzx.jpg	592831.5504	592831.9506	592831.9841	592835.0032
227	sun_aasmevtpkslccptd.jpg	592835.2201	592835.6947	592835.7371	592838.7563
228	sun_abtdlltafvpypcff.jpg	592838.9731	592839.3987	592839.4735	592842.4926
229	sun_aicgqimzgcarglin.jpg	592842.7095	592844.0382	592844.0606	592847.0797
230	sun_angvzhbidnxzubxm.jpg	592847.2965	592848.0224	592848.0805	592851.0996
231	sun_awjcipnjtpkdqhfw.jpg	592851.3165	592851.6628	592851.7001	592854.7192
232	sun_agqborhpkvvwbvfl.jpg	592854.9361	592855.5334	592855.5866	592858.6057
233	sun_anbwfxayngoytjhx.jpg	592858.8226	592859.2144	592859.2563	592862.2754
234	sun_akjyhxlvhklxxtyd.jpg	592862.4922	592862.9025	592862.9259	592865.9450
235	labelme_yfvjufwlxjspvee.jpg	592866.1619	592866.4862	592866.5455	592869.5646
236	sun_ahbhthuvbhsokcnl.jpg	592869.7815	592870.0786	592870.0984	592873.1175
237	sun_anryaplzeujmzfkd.jpg	592873.3344	592873.7186	592873.7681	592876.7872
238	sun_abvctdwfbgsumtid.jpg	592877.0040	592877.3267	592877.3543	592880.3734
