image,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24
110_kitch,cabinet,window,curtain,sink,drainer,shelf,bowl,plate,stove,oven,extractor hood,fridge,rug,table,bowl,fruit,chair,,,,,,,
110_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,shelf,kitchen utensil,plant,stove,,,,,
111_bath,towel holder,mirror,sink,closet,toilet paper,toilet paper pack,toilet brush,shower,shower screen,rug,lamp,,,,,,,,,,,,,
111_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
111_kitch,cabinet,sink,bowl,fruit,shelf,plate,lamp,washing machine,vase,fridge,table,chair,plate,,,,,,,,,,,
111_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,,,
112_bath,toilet brush,toilet,window,closet,mirror,bathroom vanity,sink,lamp,rug,bathtub,shower,,,,,,,,,,,,,
112_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
112_kitch,fridge,shelf,plate,decoration,stove,sink,window,lamp,light switch,table,chair,plate,cutlery,,,,,,,,,,,
112_kitch_copy,cabinet,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,microwave,shelf,,,,,,,
113_bath,bin,toilet,toilet brush,rug,shower,shower screen,shampoo bottle,heater,towel holder,sink,mirror,cabinet,soap,door,,,,,,,,,,
113_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
113_kitch,cabinet,sink,stove,oven,extractor hood,fridge,table,door,,,,,,,,,,,,,,,,
113_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,
114_bath,mirror,bathroom vanity,sink,shower,shower screen,rug,shelf,toilet paper,toilet,,,,,,,,,,,,,,,
114_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,,,,,,,
114_kitch,fridge,stove,oven,cabinet,sink,window,table,flower,rug,,,,,,,,,,,,,,,
114_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,,,,,,,,,,,,
115_bath,door,shower,shower screen,shampoo bottle,heater,window,toilet,sink,mirror,washing machine,,,,,,,,,,,,,,
115_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,,,,,,,
115_kitch,door,fridge,cabinet,stove,oven,sink,microwave,table,chair,,,,,,,,,,,,,,,
115_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,stove,,,,
116_bath,window,bathtub,bin,slipper,rug,sink,soap,toothbrush,razor,shelf,bathroom utensil,picture,shower,shower screen,toilet,,,,,,,,,
116_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
