trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
186	sun_axuvsdqqnoevzlud.jpg	1394324.7735	1394326.7745	1394326.7813	1394329.7784
187	sun_ajieuepqwqsumwkj.jpg	1394329.9842	1394331.0147	1394331.0232	1394334.0209
188	sun_aobyfgpmnvnnuolx.jpg	1394334.2325	1394334.9986	1394335.0054	1394338.0028
189	sun_atgzwnczaxwddrai.jpg	1394338.2095	1394338.6706	1394338.6774	1394341.6758
190	sun_anbqoyitlozwisvu.jpg	1394341.8819	1394342.3482	1394342.3577	1394345.3554
191	labelme_iocgjwcthdvttcs.jpg	1394345.5635	1394349.8623	1394349.8691	1394352.8669
192	sun_anryxjxdjnraelom.jpg	1394353.0729	1394353.6466	1394353.6535	1394356.6507
193	sun_acduarbnmmoglmiv.jpg	1394356.8566	1394357.3825	1394357.3906	1394360.3881
194	sun_ambrwzywvjncguna.jpg	1394360.5959	1394361.0753	1394361.0861	1394364.0830
195	sun_alxnnlzdudyhqwig.jpg	1394364.2900	1394365.1589	1394365.1658	1394368.1640
196	sun_awaeoxdssornxdzd.jpg	1394368.3696	1394368.8064	1394368.8146	1394371.8120
197	sun_ahixopvqokygrcgy.jpg	1394372.0197	1394372.3584	1394372.3651	1394375.3629
198	sun_acpufsxakyzrtcti.jpg	1394375.5695	1394376.4672	1394376.4741	1394379.4721
199	sun_aavhrsfjbserjtht.jpg	1394379.6779	1394381.4864	1394381.4947	1394384.4923
200	sun_aailohlxppyetonl.jpg	1394384.7003	1394386.1580	1394386.1649	1394389.1626
201	sun_aaslbwtcdcwjukuo.jpg	1394665.7251	1394667.9302	1394667.9478	1394670.9459
202	sun_atkzwhcuawuauxxx.jpg	1394671.1548	1394671.6221	1394671.6305	1394674.6280
203	sun_acnxqvumxuhphsox.jpg	1394674.8345	1394675.4538	1394675.4611	1394678.4589
204	sun_avktgzzhmpgvaxkk.jpg	1394678.6671	1394679.7246	1394679.7317	1394682.7294
205	sun_azkonpsbldzbkqim.jpg	1394682.9350	1394683.0939	1394683.1009	1394686.0987
206	sun_amkzdhjzeppbseut.jpg	1394686.3044	1394686.3980	1394686.4066	1394689.4043
207	sun_ahjhgfuccyykgcqk.jpg	1394689.6129	1394689.7339	1394689.7406	1394692.7386
208	sun_abgovsbwwyozjdzp.jpg	1394692.9453	1394693.2059	1394693.2127	1394696.2104
209	sun_awqncsdprzjtqkum.jpg	1394696.4163	1394696.5255	1394696.5340	1394699.5316
210	sun_adoqbnxbotablpwl.jpg	1394699.7433	1394700.3656	1394700.3725	1394703.3705
211	sun_aawefvrbscajixha.jpg	1394703.5800	1394704.0618	1394704.0686	1394707.0666
212	sun_acfmftudsenhrfhy.jpg	1394707.2734	1394708.0458	1394708.0550	1394711.0530
213	sun_aqwqdcouifhpnenx.jpg	1394711.2605	1394711.5820	1394711.5898	1394714.5873
214	sun_azckywjqzicxsgez.jpg	1394714.7937	1394714.9659	1394714.9751	1394717.9726
