Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	9	1064.791	1298.131	233.340	1121.255	539.365	0.064	0.014	0.207	0.153
sub-025_task-EyeTracking_physio	9	1339.795	1523.137	183.342	1238.928	661.130	0.077	0.013	0.157	0.243
sub-025_task-EyeTracking_physio	9	1556.468	1873.140	316.672	1527.158	759.415	0.125	0.044	0.203	0.608
sub-025_task-EyeTracking_physio	9	1889.811	2139.807	249.996	1430.170	805.095	0.215	0.079	0.242	0.611
sub-025_task-EyeTracking_physio	9	2173.149	2373.150	200.001	1152.703	814.072	0.192	0.063	0.329	0.493
sub-025_task-EyeTracking_physio	9	2398.149	2814.827	416.678	938.605	901.890	0.153	0.059	0.322	0.616
sub-025_task-EyeTracking_physio	9	2831.493	2948.166	116.673	1014.160	914.165	0.190	0.046	0.219	0.435
sub-025_task-EyeTracking_physio	10	-1718.508	-1485.166	233.342	1220.815	664.040	0.112	0.032	0.146	0.513
sub-025_task-EyeTracking_physio	10	-1468.503	214.868	1683.371	1269.160	651.043	0.259	0.436	0.704	4.022
sub-025_task-EyeTracking_physio	10	248.201	581.538	333.337	1310.017	739.450	0.166	0.072	0.331	0.743
sub-025_task-EyeTracking_physio	10	639.876	981.548	341.672	1093.450	758.805	0.100	0.041	0.233	0.463
sub-025_task-EyeTracking_physio	10	1014.882	1323.222	308.340	1130.825	652.460	0.086	0.028	0.213	0.358
sub-025_task-EyeTracking_physio	10	1364.889	1648.232	283.343	1354.477	658.213	0.077	0.016	0.227	0.193
sub-025_task-EyeTracking_physio	10	1681.565	1998.235	316.670	1428.050	680.795	0.079	0.029	0.252	0.273
sub-025_task-EyeTracking_physio	10	2039.905	2323.244	283.339	1296.322	742.628	0.093	0.020	0.226	0.270
sub-025_task-EyeTracking_physio	10	2348.243	2606.582	258.339	1302.045	769.215	0.089	0.017	0.194	0.190
sub-025_task-EyeTracking_physio	10	2631.581	3006.588	375.007	1363.635	745.880	0.106	0.051	0.233	0.447
sub-025_task-EyeTracking_physio	11	-1935.089	-1826.751	108.338	1338.920	745.285	0.083	0.011	0.150	0.146
sub-025_task-EyeTracking_physio	11	-1801.753	223.291	2025.044	1289.195	709.155	0.201	0.169	0.624	0.890
sub-025_task-EyeTracking_physio	11	248.291	514.962	266.671	1286.983	785.245	0.287	0.256	0.581	1.250
sub-025_task-EyeTracking_physio	11	731.637	931.638	200.001	1579.062	905.590	0.186	0.087	0.223	1.021
sub-025_task-EyeTracking_physio	11	964.977	1256.647	291.670	1333.830	941.090	0.341	0.151	0.406	1.131
sub-025_task-EyeTracking_physio	11	1289.980	1531.653	241.673	1263.860	941.695	0.254	0.065	0.311	0.642
sub-025_task-EyeTracking_physio	11	1573.320	1864.991	291.671	1060.065	909.100	0.209	0.053	0.245	0.610
sub-025_task-EyeTracking_physio	11	1881.661	2098.329	216.668	991.165	876.230	0.202	0.105	0.321	0.765
sub-025_task-EyeTracking_physio	11	2148.333	2423.340	275.007	1637.775	807.620	0.170	0.067	0.395	0.412
sub-025_task-EyeTracking_physio	11	2448.338	2748.344	300.006	1613.780	959.892	0.181	0.077	0.313	0.908
sub-025_task-EyeTracking_physio	11	2881.679	3006.686	125.007	1344.895	966.505	0.141	0.037	0.215	0.276
sub-025_task-EyeTracking_physio	12	-1584.989	-1484.985	100.004	1384.310	898.530	1.523	4.885	2.073	2.857
sub-025_task-EyeTracking_physio	12	-1451.652	-1234.984	216.668	1320.915	583.385	0.127	0.089	0.380	0.543
sub-025_task-EyeTracking_physio	12	-1043.308	-726.641	316.667	1283.202	707.370	0.168	0.069	0.252	0.734
sub-025_task-EyeTracking_physio	12	-626.635	-193.297	433.338	1280.655	691.638	0.233	0.133	0.468	1.031
sub-025_task-EyeTracking_physio	12	-93.292	206.713	300.005	1291.370	719.162	0.370	0.316	0.559	2.971
sub-025_task-EyeTracking_physio	12	390.057	915.063	525.006	1179.785	897.040	0.214	0.106	0.497	1.034
sub-025_task-EyeTracking_physio	12	940.062	1115.064	175.002	1456.900	920.555	0.213	0.085	0.300	0.612
sub-025_task-EyeTracking_physio	12	1156.733	1415.073	258.340	1436.315	572.650	0.099	0.025	0.195	0.309
