Var1,Var2,Var3,Var4,Var5,Var6
sun_avsajiwmqfxawdbz.jpg,sun_abatxvtlyykharmu.jpg,right,right,1,bahtroom
sun_agauzddnbwdarpbz.jpg,sun_abtukhmkjdzyfxhr.jpg,left,right,0,bahtroom
sun_aqrpegblszgcoujh.jpg,sun_aqlxkxovihtbzglk.jpg,right,left,0,bahtroom
sun_abvctdwfbgsumtid.jpg,sun_aymtuhmvmnoftepq.jpg,right,right,1,kitchen
sun_acdlgczjpwkeuvgy.jpg,sun_agwyjigcjffomrmw.jpg,left,right,0,kitchen
sun_anjpziwkjniyzlkr.jpg,sun_awanhgiwrrxlxomx.jpg,right,right,1,kitchen
sun_afznskzeyysxrlqg.jpg,sun_agfmsmojwptjoava.jpg,left,left,1,kitchen
sun_aexxtzchsriqptwg.jpg,sun_aamdjwemxpmmtypi.jpg,left,left,1,bahtroom
sun_aiwjjxhtgtrwjdsf.jpg,sun_axvfcxucpkhbmcop.jpg,left,right,0,kitchen
sun_aywpszwfywdmgrpv.jpg,sun_acntykkclblgmzaq.jpg,right,left,0,bahtroom
sun_awqncsdprzjtqkum.jpg,sun_awbapnfjszkeipdp.jpg,right,right,1,kitchen
sun_azqyogdvyhahyram.jpg,labelme_tpijmjsmbzbktsa.jpg,right,right,1,bahtroom
sun_aykqizkgpgmqzxbh.jpg,sun_atmztryenwyfdzhn.jpg,right,right,1,bahtroom
sun_agldadusrezhmyva.jpg,sun_agdcinfniawzffdd.jpg,right,right,1,kitchen
sun_ahdycvpopffkzzsu.jpg,sun_avgmuomzzvtdobun.jpg,left,right,0,kitchen
sun_aufbguyyrccwwxuf.jpg,sun_abpwyqmlzafvklqo.jpg,left,left,1,kitchen
sun_arzpkkvcdvvswxnf.jpg,sun_acwhfpczauztymsz.jpg,right,right,1,bahtroom
sun_ajxqlzmoovksgjbl.jpg,sun_avjbidbdqqcnrdva.jpg,left,right,0,kitchen
sun_aibgyrlkgcnwvhxl.jpg,sun_abdenxonkemggwsq.jpg,left,right,0,kitchen
labelme_yfvjufwlxjspvee.jpg,sun_azqgnygsgobzrpks.jpg,left,left,1,kitchen
sun_abntrinbqbsqoowj.jpg,labelme_brsyyvweiuaazfr.jpg,left,left,1,kitchen
sun_accreawivrzlvqyc.jpg,sun_ajfhjwrwoqadmjlk.jpg,left,right,0,kitchen
sun_atkzwhcuawuauxxx.jpg,sun_addsacqmcbavfmcm.jpg,left,left,1,bahtroom
sun_akoozmcccyrpzqdd.jpg,sun_azmutvzbxypaceni.jpg,left,left,1,kitchen
sun_ajawyzbcsphfnsgb.jpg,sun_adhxzqwyneslievj.jpg,left,left,1,bahtroom
sun_awmhkaergffvuksf.jpg,sun_aawkypwlygauburu.jpg,left,left,1,bahtroom
sun_aepdfzurhsaporkg.jpg,sun_aawgmipacllifrjh.jpg,right,left,0,bahtroom
sun_abdiiftvfbsqoreg.jpg,sun_akyikspsjxhbzvar.jpg,left,left,1,bahtroom
sun_ahovdllcccjqjyeb.jpg,sun_afntquzbbhrubttc.jpg,right,left,0,kitchen
