ObjectName1,ObjectName2,CommonSubstring
ceiling spotlight,light switch,light
ceiling spotlight,light switches,light
ceiling spotlight,light troffer,light
ceiling spotlight,measuring spoons,ing spo
ceiling spotlight,processing machine,ing 
ceiling spotlight,railing,iling
ceiling spotlight,semi-flush mount light,light
ceiling spotlight,shaving brush,ing 
ceiling spotlight,skirting board,ing 
ceiling spotlight,skylight,light
ceiling spotlight,sliding door,ing 
ceiling spotlight,wall recessed light,light
ceiling spotlight,washing machine,ing 
ceiling spotlight,watering can,ing 
chair,chair crop,chair
chair,chairs crop,chair
chair,hair dryer,hair
chair,hairbrush,hair
chair,hairdryer,hair
chair,small chair,chair
chair crop,chairs crop,chair
chair crop,chandelier crop,r crop
chair crop,cistern crop, crop
chair crop,coffee cup crop, crop
chair crop,countertop crop, crop
chair crop,cushion crop, crop
chair crop,dishwasher crop,r crop
chair crop,dog dish crop, crop
chair crop,door crop,r crop
chair crop,flush mount light crop, crop
chair crop,fork crop, crop
chair crop,glass crop, crop
chair crop,hair dryer,hair 
chair crop,hairbrush,hair
chair crop,hairdryer,hair
chair crop,kettle crop, crop
chair crop,microwave crop, crop
chair crop,mirror crop,r crop
chair crop,oven crop, crop
chair crop,pendant lamp crop, crop
chair crop,picture crop, crop
chair crop,place mat crop, crop
chair crop,plate crop, crop
chair crop,radiator crop,r crop
chair crop,range crop, crop
chair crop,refrigerator crop,r crop
chair crop,rug crop, crop
chair crop,sconce crop, crop
chair crop,shelf crop, crop
chair crop,side table crop, crop
chair crop,sink crop, crop
chair crop,small chair,chair
chair crop,sofa crop, crop
chair crop,stool crop, crop
chair crop,stove crop, crop
chair crop,table crop, crop
chair crop,telephone crop, crop
chair crop,toilet crop, crop
chair crop,towel crop, crop
chair crop,trash can crop, crop
chair crop,vase crop, crop
chair crop,window crop, crop
chairs crop,chandelier crop, crop
chairs crop,cistern crop, crop
chairs crop,coffee cup crop, crop
chairs crop,countertop crop, crop
chairs crop,cushion crop, crop
chairs crop,dishwasher crop, crop
chairs crop,dog dish crop, crop
chairs crop,door crop, crop
chairs crop,flush mount light crop, crop
chairs crop,fork crop, crop
chairs crop,glass crop,s crop
chairs crop,hair dryer,hair
chairs crop,hairbrush,hair
chairs crop,hairdryer,hair
chairs crop,kettle crop, crop
chairs crop,microwave crop, crop
chairs crop,mirror crop, crop
chairs crop,oven crop, crop
chairs crop,pendant lamp crop, crop
chairs crop,picture crop, crop
chairs crop,place mat crop, crop
chairs crop,plate crop, crop
chairs crop,radiator crop, crop
chairs crop,range crop, crop
chairs crop,refrigerator crop, crop
chairs crop,rug crop, crop
chairs crop,sconce crop, crop
chairs crop,shelf crop, crop
chairs crop,side table crop, crop
chairs crop,sink crop, crop
chairs crop,small chair,chair
chairs crop,sofa crop, crop
chairs crop,stairs,airs
chairs crop,stool crop, crop
chairs crop,stove crop, crop
chairs crop,table crop, crop
chairs crop,telephone crop, crop
chairs crop,toilet crop, crop
chairs crop,towel crop, crop
chairs crop,trash can crop, crop
chairs crop,vase crop, crop
chairs crop,window crop, crop
champagne bucket,ice bucket,e bucket
champagne bucket,magnet,agne
champagne bucket,shampoo,hamp
chandelier,chandelier crop,chandelier
chandelier,handle,hand
chandelier,handrail,hand
chandelier crop,cistern crop, crop
chandelier crop,coffee cup crop, crop
chandelier crop,countertop crop, crop
chandelier crop,cushion crop, crop
chandelier crop,dishwasher crop,er crop
chandelier crop,dog dish crop, crop
chandelier crop,door crop,r crop
chandelier crop,flush mount light crop, crop
chandelier crop,fork crop, crop
chandelier crop,glass crop, crop
chandelier crop,handle,hand
chandelier crop,handrail,hand
chandelier crop,kettle crop, crop
chandelier crop,microwave crop, crop
chandelier crop,mirror crop,r crop
chandelier crop,oven crop, crop
chandelier crop,pendant lamp crop, crop
chandelier crop,picture crop, crop
chandelier crop,place mat crop, crop
chandelier crop,plate crop, crop
chandelier crop,radiator crop,r crop
chandelier crop,range crop, crop
chandelier crop,refrigerator crop,r crop
chandelier crop,rug crop, crop
chandelier crop,sconce crop, crop
chandelier crop,shelf crop, crop
chandelier crop,shower curtain,er c
chandelier crop,side table crop, crop
chandelier crop,sink crop, crop
chandelier crop,sofa crop, crop
chandelier crop,stool crop, crop
chandelier crop,stove crop, crop
chandelier crop,table crop, crop
chandelier crop,telephone crop, crop
chandelier crop,toilet crop, crop
chandelier crop,towel crop, crop
chandelier crop,trash can crop, crop
chandelier crop,vase crop, crop
chandelier crop,water cooler,er c
chandelier crop,window crop, crop
cheese dish,dish,dish
cheese dish,dish drainer,dish
cheese dish,dish rack,dish
cheese dish,dish soap,dish
cheese dish,dishcloth,dish
cheese dish,dishes,dish
cheese dish,dishwasher,dish
cheese dish,dishwasher crop,dish
cheese dish,dog dish crop, dish
cheese dish,soap dish, dish
cheese dish,soap dispenser, dis
cheese dish,tissue dispenser,e dis
cheese dish,towel dispenser, dis
cistern crop,coaster,ster
cistern crop,coasters,ster
cistern crop,coffee cup crop, crop
cistern crop,countertop crop, crop
cistern crop,cushion crop,n crop
cistern crop,dishwasher crop, crop
cistern crop,dog dish crop, crop
cistern crop,door crop, crop
cistern crop,flush mount light crop, crop
cistern crop,fork crop, crop
cistern crop,glass crop, crop
cistern crop,kettle crop, crop
cistern crop,microwave crop, crop
